file,SAR,SpectralFlat,HF_Ratio,DNSMOS_proxy
pair_000_orig_F.wav,0.8503,0.047938,0.009195,3.9677
pair_000_orig_M.wav,1.0,0.046785,0.009117,4.2846
pair_001_orig_F.wav,0.8449,0.034443,0.01836,4.1457
pair_002_orig_F.wav,0.9091,0.024149,0.002719,4.4519
pair_002_orig_M.wav,1.0,0.040908,0.004458,4.3797
pair_003_orig_F.wav,1.0,0.369282,0.851094,2.2234
pair_004_orig_M.wav,0.9947,0.005135,0.000165,4.912
pair_005_orig_M.wav,0.9465,0.112373,0.025375,3.355
pair_006_orig_M.wav,1.0,0.174323,0.079405,3.3809
pair_007_orig_F.wav,1.0,0.135705,0.029567,3.4557
pair_008_orig_M.wav,1.0,0.127949,0.026493,3.4603
pair_009_orig_F.wav,1.0,0.016347,0.000316,4.7543
pair_010_orig_F.wav,1.0,0.04614,0.005378,4.2998
pair_011_orig_M.wav,0.7027,0.016554,0.001125,4.1554
pair_012_orig_F.wav,1.0,0.024919,0.00832,4.6137
pair_013_orig_F.wav,1.0,0.018627,0.00197,4.7176
pair_014_orig_F.wav,1.0,0.017109,0.000233,4.743
pair_015_orig_M.wav,0.9091,0.064537,0.044694,3.7831
pair_016_orig_M.wav,0.7901,0.097253,0.013744,3.1008
pair_017_orig_F.wav,0.9661,0.067546,0.005091,3.9114
pair_018_orig_M.wav,0.8272,0.025848,0.005985,4.2576
pair_019_orig_F.wav,0.7632,0.007378,0.000326,4.4152
pair_020_orig_M.wav,1.0,0.05673,0.03829,4.0916
pair_021_orig_M.wav,1.0,0.052969,0.003092,4.2008
pair_022_orig_F.wav,0.9037,0.068211,0.004289,3.7779
pair_023_orig_M.wav,1.0,0.139559,0.013442,3.4798
pair_024_orig_M.wav,0.9278,0.041572,0.005144,4.2244
pair_025_orig_M.wav,0.8663,0.074112,0.037114,3.5653
pair_026_orig_M.wav,1.0,0.168096,0.02546,3.4618
pair_027_orig_F.wav,0.9519,0.13053,0.053078,3.3241
pair_028_orig_F.wav,1.0,0.251185,0.384253,2.9236
pair_029_orig_M.wav,1.0,0.114466,0.119543,3.3207
pair_030_orig_F.wav,1.0,0.039847,0.005021,4.3948
pair_031_orig_M.wav,0.7816,0.023952,0.001472,4.2017
pair_032_orig_M.wav,1.0,0.075728,0.021065,3.8325
pair_033_orig_F.wav,1.0,0.291498,0.575228,2.6372
pair_034_orig_M.wav,0.7881,0.024084,0.001295,4.213
pair_035_orig_M.wav,0.5246,0.050261,0.005282,3.2873
pair_036_orig_M.wav,0.906,0.039992,0.008974,4.1986
pair_037_orig_F.wav,1.0,0.112129,0.036857,3.4447
pair_038_orig_F.wav,1.0,0.046171,0.002535,4.3036
pair_039_orig_F.wav,0.9776,0.045496,0.009147,4.2591
pair_040_orig_F.wav,1.0,0.00921,8.9e-05,4.8617
pair_041_orig_F.wav,1.0,0.024093,0.003069,4.634
