file,SAR,SpectralFlat,HF_Ratio,DNSMOS_proxy
pair_000_trans_F2M.wav,0.8717,0.007921,0.000395,4.6239
pair_000_trans_M2F.wav,1.0,0.01894,0.002569,4.712
pair_001_trans_F2M.wav,0.893,0.004906,0.000985,4.711
pair_002_trans_F2M.wav,0.9412,0.005007,0.00022,4.8069
pair_002_trans_M2F.wav,1.0,0.015172,0.000961,4.771
pair_003_trans_F2M.wav,1.0,0.060519,0.12607,3.9031
pair_004_trans_M2F.wav,1.0,0.002881,0.000105,4.9566
pair_005_trans_M2F.wav,0.9572,0.041023,0.00533,4.2911
pair_006_trans_M2F.wav,1.0,0.046649,0.008707,4.2872
pair_007_trans_F2M.wav,1.0,0.023534,0.002487,4.6433
pair_008_trans_M2F.wav,1.0,0.040794,0.005113,4.3804
pair_009_trans_F2M.wav,1.0,0.004993,2.3e-05,4.9251
pair_010_trans_F2M.wav,1.0,0.008019,0.000422,4.8791
pair_011_trans_M2F.wav,0.7432,0.006791,0.000175,4.3844
pair_012_trans_F2M.wav,1.0,0.004818,0.000522,4.9269
pair_013_trans_F2M.wav,1.0,0.003858,9.4e-05,4.942
pair_014_trans_F2M.wav,1.0,0.004283,1.2e-05,4.9357
pair_015_trans_M2F.wav,0.9412,0.020594,0.008901,4.5601
pair_016_trans_M2F.wav,0.8519,0.037761,0.003846,4.1315
pair_017_trans_F2M.wav,0.9661,0.013939,0.000551,4.7223
pair_018_trans_M2F.wav,0.8642,0.008334,0.001056,4.6018
pair_019_trans_F2M.wav,0.7895,0.001451,1.3e-05,4.5572
pair_020_trans_M2F.wav,1.0,0.047123,0.016745,4.268
pair_021_trans_M2F.wav,1.0,0.024194,0.000947,4.6357
pair_022_trans_F2M.wav,0.9358,0.014732,0.000343,4.6502
pair_023_trans_M2F.wav,1.0,0.05359,0.004485,4.1894
pair_024_trans_M2F.wav,0.9485,0.015402,0.000872,4.6646
pair_025_trans_M2F.wav,0.893,0.021145,0.006025,4.4599
pair_026_trans_M2F.wav,1.0,0.065514,0.008219,4.005
pair_027_trans_F2M.wav,0.9947,0.020745,0.004476,4.6714
pair_028_trans_F2M.wav,1.0,0.034494,0.049044,4.409
pair_029_trans_M2F.wav,1.0,0.031093,0.012224,4.5153
pair_030_trans_F2M.wav,1.0,0.007016,0.000306,4.8943
pair_031_trans_M2F.wav,0.7816,0.010324,0.000276,4.4079
pair_032_trans_M2F.wav,1.0,0.028092,0.006515,4.5688
pair_033_trans_F2M.wav,1.0,0.04115,0.064671,4.2857
pair_034_trans_M2F.wav,0.8146,0.016944,0.000569,4.3741
pair_035_trans_M2F.wav,0.5082,0.018893,0.000541,3.7322
pair_036_trans_M2F.wav,0.8974,0.015063,0.00246,4.5652
